====== Run started 12-06-2026 15:52:32.64 ======
12-06-2026 15:52:32.73 | ApprovalRegion | DATABASE/TABLE | AC_APPROVAL_REGION | OK
12-06-2026 15:52:32.80 | ApprovalRegion | DATABASE/TABLE | CM_CURRENCY | OK
12-06-2026 15:52:32.89 | ApprovalRegion | DATABASE/PROC | SPN_AC_DEL_APPROVAL_REGION | OK
12-06-2026 15:52:32.98 | ApprovalRegion | DATABASE/PROC | SPN_AC_GET_APPROVAL_REGION | OK
12-06-2026 15:52:33.05 | ApprovalRegion | DATABASE/PROC | SPN_AC_INS_APPROVAL_REGION | OK
12-06-2026 15:52:33.13 | ApprovalRegion | DATABASE/PROC | SPN_AC_UPD_APPROVAL_REGION | OK
12-06-2026 15:52:33.20 | ApprovalRegion | DATABASE/PROC | SPN_CM_GET_CURRENCY | OK
12-06-2026 15:52:33.28 | ApprovalRegion | BLL/BLL | bApprovalRegion.cs | OK
12-06-2026 15:52:33.37 | ApprovalRegion | BLL/BLL | bCurrency.cs | OK
12-06-2026 15:52:33.45 | ApprovalRegion | DAL/DAL | sApprovalRegion.cs | OK
12-06-2026 15:52:33.54 | ApprovalRegion | DAL/DAL | sCurrency.cs | OK
12-06-2026 15:52:33.62 | ApprovalRegion | UI/UI_FORM | xpApprovalRegion.cs | OK
12-06-2026 15:52:33.70 | ApprovalRegion | UI/DESIGNER | xpApprovalRegion.Designer.cs | OK
12-06-2026 15:52:33.79 | ApproverRoles | DATABASE/TABLE | AC_APPROVAL_INVENTORY | OK
12-06-2026 15:52:33.86 | ApproverRoles | DATABASE/TABLE | AC_APPROVER_ROLES | OK
12-06-2026 15:52:33.94 | ApproverRoles | DATABASE/PROC | SPN_AC_CHK_APPR_ROLE_EDIT | OK
12-06-2026 15:52:34.02 | ApproverRoles | DATABASE/PROC | SPN_AC_DEL_APPROVER_ROLES | OK
12-06-2026 15:52:34.11 | ApproverRoles | DATABASE/PROC | SPN_AC_GET_APPROVER_ROLES | OK
12-06-2026 15:52:34.19 | ApproverRoles | DATABASE/PROC | SPN_AC_INS_APPROVER_ROLES | OK
12-06-2026 15:52:34.26 | ApproverRoles | DATABASE/PROC | SPN_AC_UPD_APPROVER_ROLES | OK
12-06-2026 15:52:34.34 | ApproverRoles | BLL/BLL | bApproverRoles.cs | OK
12-06-2026 15:52:34.42 | ApproverRoles | DAL/DAL | sApproverRoles.cs | OK
12-06-2026 15:52:34.51 | ApproverRoles | UI/UI_FORM | xpApproverRoles.cs | OK
12-06-2026 15:52:34.58 | ApproverRoles | UI/DESIGNER | xpApproverRoles.designer.cs | OK
12-06-2026 15:52:34.67 | ContractPayOthElements | DATABASE/TABLE | AR_PAY_ADDT_DET | OK
12-06-2026 15:52:34.74 | ContractPayOthElements | DATABASE/TABLE | AR_PAY_ADDT_DET_LINE_MAST | OK
12-06-2026 15:52:34.81 | ContractPayOthElements | DATABASE/TABLE | AR_PAY_ADDT_MAST | OK
12-06-2026 15:52:34.89 | ContractPayOthElements | DATABASE/TABLE | AR_PAY_ADDT_MAST_ACC | OK
12-06-2026 15:52:34.97 | ContractPayOthElements | DATABASE/TABLE | CM_COST_CODE | OK
12-06-2026 15:52:35.05 | ContractPayOthElements | DATABASE/TABLE | CM_COST_HEAD | OK
12-06-2026 15:52:35.13 | ContractPayOthElements | DATABASE/TABLE | CM_REVENUE_CODE | OK
12-06-2026 15:52:35.21 | ContractPayOthElements | DATABASE/TABLE | CM_REVENUE_HEAD | OK
12-06-2026 15:52:35.29 | ContractPayOthElements | DATABASE/TABLE | CM_SHARED_MASTER_COMPANIES | OK
12-06-2026 15:52:35.36 | ContractPayOthElements | DATABASE/TABLE | CM_SHARED_MASTER_GROUP | OK
12-06-2026 15:52:35.44 | ContractPayOthElements | DATABASE/TABLE | FC_CHART_OF_ACCOUNTS | OK
12-06-2026 15:52:35.51 | ContractPayOthElements | DATABASE/TABLE | SE_USER_COMPANY_RIGHTS | OK
12-06-2026 15:52:35.58 | ContractPayOthElements | DATABASE/PROC | SPN_AR_DEL_PAY_ADDT_MAST | OK
12-06-2026 15:52:35.66 | ContractPayOthElements | DATABASE/PROC | SPN_AR_DEL_PAY_ADDT_MAST_ACC | OK
12-06-2026 15:52:35.73 | ContractPayOthElements | DATABASE/PROC | SPN_AR_GET_ADD_PAY_ELM_ACCT | OK
12-06-2026 15:52:35.80 | ContractPayOthElements | DATABASE/PROC | SPN_AR_INS_PAY_ADDT_MAST | OK
12-06-2026 15:52:35.87 | ContractPayOthElements | DATABASE/PROC | SPN_AR_INS_PAY_ADDT_MAST_ACC | OK
12-06-2026 15:52:35.94 | ContractPayOthElements | DATABASE/PROC | SPN_AR_UPD_PAY_ADDT_MAST | OK
12-06-2026 15:52:36.02 | ContractPayOthElements | DATABASE/PROC | SPN_AR_UPD_PAY_ADDT_MAST_ACC | OK
12-06-2026 15:52:36.09 | ContractPayOthElements | DATABASE/PROC | SPN_CM_GET_COST_CODE_FOR_USER | OK
12-06-2026 15:52:36.16 | ContractPayOthElements | DATABASE/PROC | SPN_CM_GET_COST_HEAD_FOR_USER | OK
12-06-2026 15:52:36.25 | ContractPayOthElements | DATABASE/PROC | SPN_CM_GET_REV_CODE_FOR_USER | OK
12-06-2026 15:52:36.33 | ContractPayOthElements | DATABASE/PROC | SPN_CM_GET_REV_HEAD_FOR_USER | OK
